Sensitive Detector-Particles
n Total Events,	 x [mm],	 y [mm],	 z [mm],	 dirX,	 dirY,	 dirZ,	 KinEnergy [MeV],	 part Type,	 primary part type,	 nPrimaryPart
0	15.6862	-8.43875	569	0.0275576	-0.0146575	0.999513	4.03132	22	11	406
1	-14.5369	-19.2938	569	-0.0250857	-0.0340948	0.999104	0.313197	22	11	1510
2	10.636	13.1494	569	0.0193163	0.022835	0.999553	1.6017	22	11	1632
3	-9.99507	-24.9003	569	-0.0174226	-0.043504	0.998901	0.178944	22	11	2564
4	0.814711	26.2869	569	0.00139518	0.0461341	0.998934	0.42918	22	11	2614
5	-3.89257	19.3599	569	-0.00752354	0.0340779	0.999391	0.953288	22	11	2669
6	17.9204	-23.8619	569	0.450689	-0.53777	0.712519	0.510999	22	11	3921
7	-194.51	-83.2937	569	-0.283601	-0.159624	0.945564	0.85335	22	11	3948
8	2.72609	-24.1837	569	0.00476656	-0.0425217	0.999084	4.51767	22	11	4414
9	5.88948	8.16388	569	0.0105291	0.0136779	0.999851	1.05753	22	11	4485
10	13.6763	13.0841	569	0.0240308	0.0233239	0.999439	1.44901	22	11	4618
11	-0.99736	-18.2794	569	-0.00102058	-0.0322621	0.999479	0.410133	22	11	5324
12	12.7606	22.7487	569	0.0222198	0.0406251	0.998927	3.02922	22	11	5635
13	17.1756	25.306	569	0.0301935	0.0437977	0.998584	2.5449	22	11	5735
14	46.8223	100.997	569	0.285027	0.385697	0.877495	0.564863	22	11	5781
15	5.11413	19.0665	569	0.0092388	0.0333396	0.999401	0.315286	22	11	6371
16	-1.46896	-17.6102	569	-0.00213963	-0.0302495	0.99954	0.405437	22	11	6433
17	11.5317	-24.2258	569	0.0198738	-0.0423342	0.998906	1.71804	22	11	6815
18	13.5102	-0.500554	569	0.0237109	-0.00162834	0.999718	2.65707	22	11	7007
19	-8.75907	-0.786151	569	-0.0153186	-0.0014107	0.999882	0.508149	22	11	8710
20	10.7732	41.596	569	-0.18921	0.362979	0.912385	2.10205	22	11	8927
21	16.1105	-1.77988	569	0.0286023	-0.00380558	0.999584	0.534772	22	11	9295
22	-6.89651	-2.40374	569	-0.0120888	-0.00408906	0.999919	1.99546	22	11	9312
23	13.8186	-20.5021	569	0.0239543	-0.0365254	0.999046	0.534165	22	11	10162
24	-21.5012	-15.6538	569	-0.0374751	-0.0280548	0.998904	0.517594	22	11	10345
25	7.23271	-1.82378	569	0.0122843	-0.0032333	0.999919	1.69232	22	11	10348
26	-0.389632	25.1967	569	-0.00068526	0.0440328	0.99903	0.235672	22	11	10399
27	7.25214	10.6898	569	0.0123254	0.0189855	0.999744	0.453081	22	11	10792
28	-10.641	-9.52891	569	-0.0187506	-0.0165781	0.999687	2.06477	22	11	11086
29	-18.5514	-23.0292	569	-0.0325597	-0.040364	0.998654	0.765681	22	11	11374
30	-1.15811	6.91781	569	-0.00170642	0.0127417	0.999917	1.66118	22	11	11763
31	23.0333	18.5788	569	0.0599821	0.0240099	0.997911	0.957103	22	11	11856
32	17.8119	28.2657	569	0.0310949	0.0495003	0.99829	1.35284	22	11	11914
33	8.46255	12.9436	569	0.00336869	0.0313711	0.999502	0.619711	22	11	12255
34	-18.523	-12.4735	569	-0.0324528	-0.022433	0.999221	1.33536	22	11	12488
35	-17.2541	0.811914	569	-0.0302523	0.00114884	0.999542	0.524453	22	11	12526
36	-66.8797	20.317	569	-0.711098	0.11629	0.693409	0.927629	22	11	12991
37	-0.0657605	26.7348	569	-0.000212879	0.0468619	0.998901	0.458056	22	11	14183
38	-19.106	4.75556	569	-0.0335485	0.00814521	0.999404	0.524707	22	11	14570
39	-22.6578	-7.88711	569	-0.0401632	-0.0132905	0.999105	0.264738	22	11	14577
40	-1.75223	-17.8478	569	-0.0028083	-0.0312181	0.999509	0.449426	22	11	14582
41	7.53849	-13.9764	569	0.0139953	-0.0241128	0.999611	1.31352	22	11	14894
42	-17.7211	-8.42984	569	-0.0310048	-0.0146308	0.999412	0.985644	22	11	15234
43	-6.65504	14.255	569	-0.0119209	0.0244587	0.99963	0.612576	22	11	15239
44	-17.5207	-14.3483	569	-0.0300965	-0.0256525	0.999218	0.97855	22	11	15453
45	-17.1524	-8.56538	569	-0.0298905	-0.0155795	0.999432	1.39596	22	11	15601
46	-7.78946	-109.564	569	0.0133547	-0.439212	0.898284	0.7336	22	11	15941
47	10.7091	5.12699	569	0.018714	0.00903668	0.999784	3.01665	22	11	16271
48	-5.07367	-8.41891	569	-0.0089174	-0.0147305	0.999852	1.52945	22	11	16756
49	15.9473	-20.2486	569	0.0271728	-0.035897	0.998986	1.38521	22	11	17043
50	-3.25209	168.475	569	-0.454139	0.734729	0.503915	0.510999	22	11	17089
51	-5.34079	-7.39496	569	-0.00846423	-0.013165	0.999878	0.556648	22	11	17299
52	-26.8725	-35.9595	569	-0.345497	-0.743668	0.572355	0.530864	22	11	17356
53	-11.6054	-20.2593	569	-0.0200967	-0.0353001	0.999175	1.82392	22	11	17371
54	-5.81158	-1.5557	569	-0.0103741	-0.00269407	0.999943	2.4293	22	11	17485
55	-5.21448	21.4057	569	-0.00839526	0.0378547	0.999248	0.50149	22	11	17602
56	6.43752	-10.7035	569	0.0112564	-0.0193878	0.999749	1.58328	22	11	17707
57	10.3306	-1.78112	569	0.0183498	-0.00304549	0.999827	1.12457	22	11	17742
58	-43.4567	-169.491	569	-0.0728285	-0.28523	0.955688	4.39961	22	11	19071
59	12.5063	0.0583027	569	0.0225186	-0.000315644	0.999746	0.858375	22	11	19256
60	10.5673	9.43674	569	0.0176702	0.0176915	0.999687	0.420857	22	11	19320
61	7.33393	23.4916	569	0.0127591	0.0410714	0.999075	1.11307	22	11	20007
62	-9.63552	-17.051	569	-0.017093	-0.0301474	0.999399	0.395834	22	11	20853
63	1.33836	-17.4063	569	0.00230514	-0.03111	0.999513	2.29773	22	11	21254
64	-5.56672	-8.29068	569	-0.00937846	-0.0143642	0.999853	1.97596	22	11	21375
65	-7.98356	17.5853	569	-0.0146717	0.0309596	0.999413	1.81988	22	11	21430
66	-20.061	-13.6835	569	-0.0353863	-0.0236582	0.999094	0.2487	22	11	22315
67	-20.4584	-4.75647	569	-0.0362352	-0.00908498	0.999302	1.3989	22	11	22616
68	6.00351	-16.686	569	0.0106474	-0.0296794	0.999503	1.94212	22	11	22624
69	-0.898645	19.4462	569	-0.00146148	0.0344262	0.999406	0.466049	22	11	22671
70	8.35367	-26.9408	569	0.014613	-0.0472168	0.998778	0.747106	22	11	22951
71	-8.8609	-7.61654	569	-0.0149473	-0.0133431	0.999799	0.178288	22	11	23409
72	6.76039	20.7482	569	0.0123579	0.0368719	0.999244	5.71834	22	11	23438
73	-4.95839	8.3015	569	-0.008855	0.0138521	0.999865	0.306482	22	11	23975
